Numero de pasos:50000 Atendido por thread:6
0.000000	 0.785398
0.040150	 0.725648 	 numero de thread:6
0.040212	 0.725560 	 numero de thread:6
0.040275	 0.725472 	 numero de thread:6
0.040338	 0.725383 	 numero de thread:6
0.040401	 0.725295 	 numero de thread:6
0.040464	 0.725207 	 numero de thread:6
0.040527	 0.725118 	 numero de thread:6
0.040589	 0.725030 	 numero de thread:6
0.040652	 0.724942 	 numero de thread:6
0.040715	 0.724854 	 numero de thread:6
0.040778	 0.724766 	 numero de thread:6
0.040841	 0.724677 	 numero de thread:6
0.040904	 0.724589 	 numero de thread:6
0.040966	 0.724501 	 numero de thread:6
0.041029	 0.724413 	 numero de thread:6
0.041092	 0.724325 	 numero de thread:6
0.041155	 0.724237 	 numero de thread:6
0.041218	 0.724149 	 numero de thread:6
0.041281	 0.724061 	 numero de thread:6
0.041343	 0.723973 	 numero de thread:6
0.041406	 0.723885 	 numero de thread:6
0.041469	 0.723797 	 numero de thread:6
0.041532	 0.723709 	 numero de thread:6
0.041595	 0.723621 	 numero de thread:6
